ANO_BO;NUM_BO;NUMERO_BOLETIM;BO_INICIADO;BO_EMITIDO;DATAOCORRENCIA;HORAOCORRENCIA;PERIDOOCORRENCIA;DATACOMUNICACAO;DATAELABORACAO;BO_AUTORIA;FLAGRANTE;NUMERO_BOLETIM_PRINCIPAL;LOGRADOURO;NUMERO;BAIRRO;CIDADE;UF;LATITUDE;LONGITUDE;DESCRICAOLOCAL;EXAME;SOLUCAO;DELEGACIA_NOME;DELEGACIA_CIRCUNSCRICAO;ESPECIE;RUBRICA;DESDOBRAMENTO;STATUS;TIPOPESSOA;VITIMAFATAL;NATURALIDADE;NACIONALIDADE;SEXO;DATANASCIMENTO;IDADE;ESTADOCIVIL;PROFISSAO;GRAUINSTRUCAO;CORCUTIS;NATUREZAVINCULADA;TIPOVINCULO;RELACIONAMENTO;PARENTESCO;PLACA_VEICULO;UF_VEICULO;CIDADE_VEICULO;DESCR_COR_VEICULO;DESCR_MARCA_VEICULO;ANO_FABRICACAO;ANO_MODELO;DESCR_TIPO_VEICULO;QUANT_CELULAR;MARCA_CELULAR
2022;113;113/2022;23/02/2022 23:54;24/02/2022 00:48;23/02/2022;22:30;A NOITE;23/02/2022;23/02/2022 23:54;Desconhecida;Não;;AVENIDA ANTÔNIO PINHEIRO JÚNIOR;2095;BELA VISTA B;PINDAMONHANGABA;SP;-22,95322299;-45,45460768;Via pública;;APRECIAÇÃO DO DELEGADO TITULAR;DEL.POL.PLANTÃO PINDA;01º D.P. PINDAMONHANGABA;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;GAD7I09;SP;PINDAMONHANGABA;Preta;TOYOTA/ETIOS SD XLS15 AT;2017;2018;AUTOMOVEL;1;Samsung
2022;424069;424069/2022;24/02/2022 09:22;24/02/2022 09:23;23/02/2022;22:30;A NOITE;23/02/2022;24/02/2022 09:22;Desconhecida;Não;;RUA TSUNESSABURO MAKIGUTI;399;FLORADAS DE SÃO JOSÉ;S.JOSE DOS CAMPOS;SP;-23,2221498;-45,8869262;Via Pública;;BO PARA REGISTRO;DELEGACIA ELETRONICA;07º D.P. S.JOSE DOS CAMPOS;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - OUTROS;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;MOTOROLA
2022;146;146/2022;24/02/2022 09:07;24/02/2022 09:53;23/02/2022;22:25;A NOITE;24/02/2022;24/02/2022 09:07;Desconhecida;Não;;RUA DIAMANTINA;261;JARDIM ISMÊNIA;S.JOSE DOS CAMPOS;SP;-23,17747433;-45,85226176;Via pública;;BO PARA INVESTIGAÇÃO;05º D.P. S.JOSE DOS CAMPOS;05º D.P. S.JOSE DOS CAMPOS;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FHM3064;SP;S.JOSE DOS CAMPOS;Preta;FIAT/SIENA ATTRACTIV 1.4;2013;2013;AUTOMOVEL;1;SAMSUNG
2022;978;978/2022;24/02/2022 09:29;24/02/2022 10:18;24/02/2022;01:00;DE MADRUGADA;24/02/2022;24/02/2022 09:29;Desconhecida;Não;;RODOVIA PRESIDENTE DUTRA (BR 116);159;PARQUE MEIA LUA;JACAREI;SP;-23,2642299;-45,95739864;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;04º D.P. GUARULHOS;03º D.P. JACAREI;Localização e/ou Devolução;Localização/Apreensão e Entrega de veículo;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;1;Samsung
2022;978;978/2022;24/02/2022 09:29;24/02/2022 10:18;24/02/2022;01:00;DE MADRUGADA;24/02/2022;24/02/2022 09:29;Desconhecida;Não;;RODOVIA PRESIDENTE DUTRA (BR 116);159;PARQUE MEIA LUA;JACAREI;SP;-23,2642299;-45,95739864;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;04º D.P. GUARULHOS;03º D.P. JACAREI;Localização e/ou Devolução;Localização/Apreensão e Entrega de veículo;;Consumado;;;;;;;;;;;;;;;;DTB7D84;MG;ABADIA DOS DOURADOS;Branco;VOLVO/VM 310 4X2T;2007;2007;CAMINHÃO TRATOR;1;Samsung
2022;978;978/2022;24/02/2022 09:29;24/02/2022 10:18;24/02/2022;01:00;DE MADRUGADA;24/02/2022;24/02/2022 09:29;Desconhecida;Não;;RODOVIA PRESIDENTE DUTRA (BR 116);159;PARQUE MEIA LUA;JACAREI;SP;-23,2642299;-45,95739864;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;04º D.P. GUARULHOS;03º D.P. JACAREI;Localização e/ou Devolução;Localização/Apreensão e Entrega de veículo;;Consumado;;;;;;;;;;;;;;;;GRO9A45;MG;ABADIA DOS DOURADOS;Branco;REB/RANDON SR FD CG;1996;1996;SEMI-REBOQUE;1;Samsung
2022;978;978/2022;24/02/2022 09:29;24/02/2022 10:18;24/02/2022;01:00;DE MADRUGADA;24/02/2022;24/02/2022 09:29;Desconhecida;Não;;RODOVIA PRESIDENTE DUTRA (BR 116);159;PARQUE MEIA LUA;JACAREI;SP;-23,2642299;-45,95739864;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;04º D.P. GUARULHOS;03º D.P. JACAREI;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - CARGA;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;1;Samsung
2022;978;978/2022;24/02/2022 09:29;24/02/2022 10:18;24/02/2022;01:00;DE MADRUGADA;24/02/2022;24/02/2022 09:29;Desconhecida;Não;;RODOVIA PRESIDENTE DUTRA (BR 116);159;PARQUE MEIA LUA;JACAREI;SP;-23,2642299;-45,95739864;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;04º D.P. GUARULHOS;03º D.P. JACAREI;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - CARGA;;Consumado;;;;;;;;;;;;;;;;DTB7D84;MG;ABADIA DOS DOURADOS;Branco;VOLVO/VM 310 4X2T;2007;2007;CAMINHÃO TRATOR;1;Samsung
2022;978;978/2022;24/02/2022 09:29;24/02/2022 10:18;24/02/2022;01:00;DE MADRUGADA;24/02/2022;24/02/2022 09:29;Desconhecida;Não;;RODOVIA PRESIDENTE DUTRA (BR 116);159;PARQUE MEIA LUA;JACAREI;SP;-23,2642299;-45,95739864;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;04º D.P. GUARULHOS;03º D.P. JACAREI;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - CARGA;;Consumado;;;;;;;;;;;;;;;;GRO9A45;MG;ABADIA DOS DOURADOS;Branco;REB/RANDON SR FD CG;1996;1996;SEMI-REBOQUE;1;Samsung
2022;978;978/2022;24/02/2022 09:29;24/02/2022 10:18;24/02/2022;01:00;DE MADRUGADA;24/02/2022;24/02/2022 09:29;Desconhecida;Não;;RODOVIA PRESIDENTE DUTRA (BR 116);159;PARQUE MEIA LUA;JACAREI;SP;-23,2642299;-45,95739864;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;04º D.P. GUARULHOS;03º D.P. JACAREI;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;1;Samsung
